id,question,answer,answer_chars,answer_words_approx
1,ශ්‍රී ලංකාවේ සිංහල හා දෙමළ අලුත් අවුරුද්දේ සංස්කෘතික වැදගත්කම කුමක්ද?,ශ්‍රී ලංකාවේ සිංහල හා දෙමළ අලුත් අවුරුද්ද යනු රටේ ජනප්‍රිය සංස්කෘතික සිදුවීම් දෙකකි. සිංහල අලුත් අවුරුද්ද යනු පූර්ණ මස අවුරුද්දක් අවසන් වන විට සිදු,147,24
2,අවුරුදු චාරිත්‍රවල නැකත් මත කරන කටයුතු කිහිපයක් පැහැදිලි කරන්න.,"අවුරුදු චාරිත්‍රවල නැකත් මත කළ හැකි ප්‍රධාන කටයුතු අතර ප්‍රතිචක්‍රීකරණය, ප්‍රතික්‍රියාකාරී ප්‍රතිචක්‍රීකරණය, ප්‍රතික්‍රියාකාරී ප්‍රතිචක්‍රීකරණය, ප්‍රතික",152,15
3,කිරිබත් අවුරුදු උත්සවවල වැදගත් ආහාරයක් වන්නේ ඇයි?,කිරිබත් අවුරුදු උත්සවවල වැදගත් ආහාරයක් වන්නේ මෙම උත්සවය යනු පුද්ගලයන් එකිනෙකා සමඟ සම්බන්ධ වීමට සහ ඔවුන්ගේ ජීවිතයේ අන්තර් ක්‍රියාකාරකම් සමඟ පුද්ගලයන් එකිනෙ,154,22
4,කොහොමද ශ්‍රී ලංකාවේ අවුරුදු උදාවේදී ගෙවල් පිරිසිදු කිරීම හා අලුත් ආරම්භයක් අතර සම්බන්ධය?,අවුරුදු උදාවේදී ගෙවල් පිරිසිදු කිරීම සහ අලුත් ආරම්භයක් යන දෙකම ශ්‍රී ලංකාවේ වැදගත් සංස්කෘතික සිදුවීම් වේ. ගෙවල් පිරිසිදු කිරීම යනු අවුරුදු උදාවේදී ප,148,23
5,ශ්‍රී ලංකාවේ වෙසක් උත්සවයේ ආගමික හා සමාජීය අර්ථය කුමක්ද?,ශ්‍රී ලංකාවේ වෙසක් උත්සවය යනු මහා පිපිරුම් උත්සවයේ ප්‍රධාන ක්‍රමයක් වන අතර එය පුරාණ ඉන්දියානු ආගමික සිදුවීමක් වන අතර එය පුරාණ ඉන්දියානු ආගමික සිදුවීමක් �,153,25
6,"වෙසක් කූඩු, තොරණ, දන්සැල් වැනි දේවල් වෙසක් සමයේ කෙරෙන්නේ ඇයි?",වෙසක් යනු මිනිස් මුහුණේ පිටි පිටි පිටි පිටි පිටි පිටි පිටි පිටි පිටි පිටි පිටි පිටි පිටි පිටි පිටි පිටි පිටි පිටි පිටි පිටි පිටි පිටි පිටි �,140,28
7,පොසොන් පෝය ශ්‍රී ලංකාවේ බෞද්ධ ඉතිහාසයේ වැදගත් වන්නේ කෙසේද?,පොසොන් පෝය යනු මුල් බෞද්ධ පාලනයේ ප්‍රධාන ප්‍රජාතන්ත්‍රවාදී ප්‍රජාවකි. එය බෞද්ධ පාලනයේ ප්‍රධාන ප්‍රජාතන්ත්‍රවාදී ප්‍රජාවකි. එය බෞද්ධ පාලනයේ ප්‍රධාන,146,19
8,කැන්ඩි පෙරහර ශ්‍රී ලංකාවේ සංස්කෘතිය නියෝජනය කරන ආකාරය පැහැදිලි කරන්න.,කැන්ඩි පෙරහර ශ්‍රී ලංකාවේ සංස්කෘතිය නියෝජනය කරන ආකාරය පැහැදිලි කරයි. ඇයගේ රූපවාහිනී වැඩසටහන් සහ චිත්‍රපට විවිධ ප්‍රභේද සහ මාධ්‍ය ප්‍රවණතා පිළිබඳ දැන�,149,22
9,දළදා පෙරහරේ ඇතුළත් සාම්ප්‍රදායික අංග කිහිපයක් නම් කරන්න.,"දළදා පෙරහරේ ඇතුළත් සාම්ප්‍රදායික අංග අතරට රෝස මල්, තැඹිලි මල්, බෙල් මල්, අලිගැට පේර, අලිගැට පේර, අලිගැට පේර, අලිගැට පේර, අලිගැට පේර, අලිගැට පේර, අලිගැට �",153,26
10,ශ්‍රී ලංකාවේ කලා සහ සංස්කෘතිය තුළ උඩරට නර්තනයේ ස්ථානය කුමක්ද?,ශ්‍රී ලංකාවේ උඩරට නර්තනය යනු රටේ මූලික සංස්කෘතික වැදගත්කමක් ඇති සංස්කෘතික සහ කලාත්මක ආකාරයකි. එය පුරාණ දේශපාලන සහ සමාජ සංස්කෘතියේ ප්‍රධාන කොටසක් වන අතර �,153,25
11,පහතරට නර්තනය සහ සබරගමුව නර්තනය අතර වෙනස්කම් මොනවාද?,නර්තනය සහ සබරගමුව නර්තනය යන දෙකම රූපවාහිනී කතා මාලාවක් මෙන්ම චිත්‍රපට මාලාවක් මෙන්ම ජාතික රූපවාහිනී වැඩසටහනක් මෙන්ම ජාතික චිත්‍රපටයක් මෙන්ම ජාතික රූපවාහින,154,22
12,"කොහොමද යක් බෙර, දවුල්, තම්මැටම වැනි වාදන ශ්‍රී ලාංකික උත්සවවල භාවිත වන්නේ?",සිංහල උත්සවවල භාවිත කරන මෙම උපකරණ මූලික වශයෙන් පිළිගත්තේ රෝම ආගමික උත්සව වලින් වන අතර එමඟින් රෝම ආගමික උත්සව වලින් වන අතර එමඟින් රෝම ආගමික උත්සව වලින් වන අත,156,29
13,ශ්‍රී ලංකාවේ ජනකලා අතර වෙස් මුහුණු නිර්මාණයේ සංස්කෘතික වැදගත්කම කුමක්ද?,ශ්‍රී ලංකාවේ ජනතාව වෙස් මුහුණු නිර්මාණය යනු රටේ ඉතිහාසයේ පැරණි සංස්කෘතික ස්වභාවයකි. එය පුරාණ ලංකාවේ ජනතාව විසින් පැවැත්වූ අතර එය පුරාණ ලංකාවේ ජනතාව �,149,24
14,අම්බලන්ගොඩ වෙස් මුහුණු කලාව ගැන කෙටි හැඳින්වීමක් දෙන්න.,අම්බලන්ගොඩ වෙස් මුහුණු කලාව යනු ඉන්දියාවේ ටෙන්සාන් ප්‍රාන්තයේ අම්බලන්ගොඩ නගරයේ පිහිටි මුහුණු කලාවකි. එය 1960 ගණන්වල මුල් භාගයේදී ආරම්භ කරන ලද අතර එය ඉන්දි,154,24
